ï»¿Column_Name,Context,Min_Value,Max_Value
latitude,Yes,,
longitude,Yes,,
is_closed,Yes,,
zipcode,Yes,,
city,Yes,,
state,Yes,,
price,No,,
rating,No,0,5
url,Yes,,
review_count,No,0,1000000
transactions,No,,
category_x,No,,
id,Yes,,
Name,Yes,,
category_y,No,,
lowprice,No,,
highprice,No,,
health_index,No,,
star1,No,0,1000000
star2,No,0,1000000
star3,No,0,1000000
star4,No,0,1000000
star5,No,0,1000000
Accept_Credit_Card,No,,
Alcohol,No,,
Appointment_Only,No,,
Caters,No,,
Delivers,No,,
Dogs_Allowed,No,,
Outdoor_Seating,No,,
Parking,No,,
Smoking_allowed,No,,
Take_out,No,,
Takes_Reservations,No,,
Wheelchair_Accessible,No,,
WIFI,No,,
Opened_24hrs,No,,
Ambience,No,,
Attire,No,,
Noise_Level,No,,
Music,No,,
atm,No,0,60
bank,No,0,60
bar,No,0,60
beauty_salon,No,0,60
book_store,No,0,60
bus_station,No,0,60
cafe,No,0,60
gas_station,No,0,60
gym,No,0,60
movie_theater,No,0,60
museum,No,0,60
school,No,0,60
shopping_mall,No,0,60
subway_station,No,0,60
supermarket,No,0,60
taxi_stand,No,0,60
train_station,No,0,60
