name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category,id
Middle East Restaurant and Nightclub,42.3637902,-71.1012764,False,02139,Cambridge,MA,$$,3.5,https://www.yelp.com/biz/middle-east-restaurant-and-nightclub-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,531,"['delivery', 'pickup']","mideastern,musicvenues,bars",YFkrZhuA1phCiJB1EJV39w
Boston Beer Works,42.3472099,-71.09913,False,02215,Boston,MA,$$,3.5,https://www.yelp.com/biz/boston-beer-works-boston-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,691,[],"breweries,tradamerican,beerbar",SNJhevBiD7xFvxiEJywMxw
Craigie On Main,42.3634817952265,-71.0986128859795,False,02139,Cambridge,MA,$$$$,4.0,https://www.yelp.com/biz/craigie-on-main-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1216,[],"newamerican,french,bars",58cDJU4cub1o0o0B4h9GrA
Gyro City,42.3431622796524,-71.0989929288362,False,02215,Boston,MA,$,4.0,https://www.yelp.com/biz/gyro-city-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,283,"['delivery', 'pickup']","greek,mediterranean",KENZN5yZDjVQtKzwJ5gD6Q
Porcinis Italian Restaurant,42.36483,-71.1667,False,02472,Watertown,MA,$$,4.0,https://www.yelp.com/biz/porcinis-italian-restaurant-watertown?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,167,[],"italian,seafood,mediterranean",7200x8GYzQSeBzuiv3_4BA
Eastern Standard Kitchen & Drinks,42.348740324378,-71.0960168391466,False,02215,Boston,MA,$$$,4.0,https://www.yelp.com/biz/eastern-standard-kitchen-and-drinks-boston-3?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1749,[],"newamerican,lounges,breakfast_brunch",p8ohzzGvGRCHnJKnyO7exA
Cuchi Cuchi,42.36334,-71.09713,False,02139,Cambridge,MA,$$$,4.0,https://www.yelp.com/biz/cuchi-cuchi-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1066,[],"tapasmallplates,wine_bars,cocktailbars",C7FKNwSUlbUinT9cRSLXHA
Island Creek Oyster Bar,42.348682243174,-71.095118452365,False,02215,Boston,MA,$$$,4.5,https://www.yelp.com/biz/island-creek-oyster-bar-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,2486,[],"seafood,bars",VnuD2cojPTWd3nIHQjnL8w
Trattoria Pulcinella,42.382737103979,-71.130739786673,False,02138,Cambridge,MA,$$$,3.0,https://www.yelp.com/biz/trattoria-pulcinella-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,47,[],italian,6q5TIpdyLXLBvOv3wyizWA
Bondir Cambridge,42.3682904,-71.0977689,False,02139,Cambridge,MA,$$$$,4.0,https://www.yelp.com/biz/bondir-cambridge-cambridge-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,313,[],newamerican,T8DpRFty13MXLf6MB43aLg
