name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category,id
Al Volo,38.9227593768247,-77.0424101220775,False,20009,"Washington, DC",DC,$$,4.5,https://www.yelp.com/biz/al-volo-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,227,"['delivery', 'pickup']",italian,JjGLEi6zw5PgR4AQfDPBng
Grand Central,38.92177,-77.04205,False,20009,"Washington, DC",DC,$$,3.0,https://www.yelp.com/biz/grand-central-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,187,[],"bars,tradamerican",XGKMeelsF3yPbY-jIZxZRA
Meze,38.92147,-77.04195,False,20009,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/meze-washington-3?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,347,['pickup'],"turkish,mediterranean,mideastern",KzvDIfyPmWQ0MPDTldtNNg
Zenebech Restaurant,38.921319778989,-77.0424218433525,False,20009,"Washington, DC",DC,$,4.5,https://www.yelp.com/biz/zenebech-restaurant-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,437,[],"ethiopian,african,wine_bars",2hJE8pBAwyw7NffzuxTjQg
Johnny Pistolas,38.9204902648926,-77.0416259765625,False,20009,"Washington, DC",DC,$$,3.5,https://www.yelp.com/biz/johnny-pistolas-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,277,"['delivery', 'pickup']","mexican,bars",PvRz-sn6GHaEvhmx_XcqMA
The Town Tavern,38.9203262329102,-77.0415725708008,False,20009,"Washington, DC",DC,$,3.0,https://www.yelp.com/biz/the-town-tavern-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,112,[],bars,yB5_ypy77U8-fh-4PBk4_w
Mama Ayesha's,38.92349,-77.04676,False,20009,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/mama-ayeshas-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,463,[],"mideastern,mediterranean,syrian",b2voZVlouByHQlCUauhytg
Chi-Cha Lounge,38.91677,-77.03796,False,20009,"Washington, DC",DC,$$,3.0,https://www.yelp.com/biz/chi-cha-lounge-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,439,[],"latin,lounges,hookah_bars",dXVjIxOIVqgjC6FdlcfHWA
District Kitchen,38.9238692075014,-77.0517721027136,False,20008,"Washington, DC",DC,$$,3.5,https://www.yelp.com/biz/district-kitchen-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,336,"['delivery', 'pickup']",newamerican,2VJ8gEpYhRODfIi1YRaGeQ
Medaterra,38.924071,-77.052263,False,20008,"Washington, DC",DC,$$,3.5,https://www.yelp.com/biz/medaterra-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,392,"['delivery', 'pickup']",mediterranean,uKC9bXfRIHnYhOCRe4C4jQ
Hot N Juicy Crawfish,38.92503,-77.052,False,20008,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/hot-n-juicy-crawfish-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1293,[],"seafood,cajun",LhVZjnt_W_RGymDCGJZVBw
Lebanese Taverna,38.9246782,-77.0521703,False,20008,"Washington, DC",DC,$$,3.5,https://www.yelp.com/biz/lebanese-taverna-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,651,"['delivery', 'pickup']","lebanese,mediterranean",XZaZKVxWoYJloBZF_ASqoA
Petits Plats,38.9251,-77.05206,False,20008,"Washington, DC",DC,$$,3.5,https://www.yelp.com/biz/petits-plats-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,172,[],"french,newamerican",ur017_3gRmCt4e3tHWjBLQ
Ruth's Chris Steak House,38.914251,-77.0455705,False,20009,"Washington, DC",DC,$$$,3.5,https://www.yelp.com/biz/ruths-chris-steak-house-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,240,[],steak,W-6JWToQHBvGUbfw6Y-THQ
Beau Thai - Mount Pleasant,38.9303762,-77.0380164,False,20010,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/beau-thai-mount-pleasant-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,360,[],"thai,bars",GKXEL7k-AWl_Qi5VASVteA
Purple Patch,38.9305308856317,-77.0379432430557,False,20010,"Washington, DC",DC,$$,4.5,https://www.yelp.com/biz/purple-patch-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,571,['pickup'],"filipino,tradamerican,cocktailbars",ZgjCUSm-El-zEGdRm769nQ
Bistrot Du Coin,38.913852,-77.046112,False,20009,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/bistrot-du-coin-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1568,"['delivery', 'pickup']",french,9uuDSvj9b7ntCq0ETuizzg
Bistro Bistro,38.91342,-77.04518,False,20009,"Washington, DC",DC,$$,2.5,https://www.yelp.com/biz/bistro-bistro-washington-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,396,"['delivery', 'pickup']","french,italian,mediterranean",W1wXF-ufqYLtTNBwz8nX_w
