name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category,id
Hot N Juicy Crawfish,38.92503,-77.052,False,20008,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/hot-n-juicy-crawfish-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,1291,[],"seafood,cajun",LhVZjnt_W_RGymDCGJZVBw
Lebanese Taverna,38.9246782,-77.0521703,False,20008,"Washington, DC",DC,$$,3.5,https://www.yelp.com/biz/lebanese-taverna-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,651,"['pickup', 'delivery']","lebanese,mediterranean",XZaZKVxWoYJloBZF_ASqoA
Petits Plats,38.9251,-77.05206,False,20008,"Washington, DC",DC,$$,3.5,https://www.yelp.com/biz/petits-plats-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,172,[],"french,newamerican",ur017_3gRmCt4e3tHWjBLQ
Beau Thai - Mount Pleasant,38.9303762,-77.0380164,False,20010,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/beau-thai-mount-pleasant-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,360,[],"thai,bars",GKXEL7k-AWl_Qi5VASVteA
Purple Patch,38.9305308856317,-77.0379432430557,False,20010,"Washington, DC",DC,$$,4.5,https://www.yelp.com/biz/purple-patch-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,569,['pickup'],"filipino,tradamerican,cocktailbars",ZgjCUSm-El-zEGdRm769nQ
Ruth's Chris Steak House,38.914251,-77.0455705,False,20009,"Washington, DC",DC,$$$,3.5,https://www.yelp.com/biz/ruths-chris-steak-house-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,240,[],steak,W-6JWToQHBvGUbfw6Y-THQ
Bistrot Du Coin,38.913852,-77.046112,False,20009,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/bistrot-du-coin-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,1568,"['pickup', 'delivery']",french,9uuDSvj9b7ntCq0ETuizzg
Bistro Bistro,38.91342,-77.04518,False,20009,"Washington, DC",DC,$$,2.5,https://www.yelp.com/biz/bistro-bistro-washington-2?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,396,"['pickup', 'delivery']","french,italian,mediterranean",W1wXF-ufqYLtTNBwz8nX_w
Lost Society,38.91716,-77.03173,False,20009,"Washington, DC",DC,$$,3.0,https://www.yelp.com/biz/lost-society-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,576,"['pickup', 'delivery']",steak,eaAjtWOMq7JfE0b7KzgAkQ
CAVA,38.9294454,-77.0321935,False,20010,"Washington, DC",DC,$,4.5,https://www.yelp.com/biz/cava-washington?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,223,[],mediterranean,EZQNWslQO5fF-6qJ-eRsRw
