name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category,id
L'angolo,40.8283599182,-73.9863337576389,False,07010,Cliffside Park,NJ,$$,4.5,https://www.yelp.com/biz/l-angolo-cliffside-park?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,42,['pickup'],italian,r6K5RBfhlNbr-g7g3u13KA
Bronx Drafthouse,40.8278536,-73.9245554,False,10452,Bronx,NY,$$,4.0,https://www.yelp.com/biz/bronx-drafthouse-bronx?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,152,"['pickup', 'delivery']","newamerican,beerbar,sportsbars",OKc49LvmOgteQoFqzzmv_A
Antika Restaurant & Pizzeria,40.838606,-73.941041,False,10032,New York,NY,$$,3.5,https://www.yelp.com/biz/antika-restaurant-and-pizzeria-new-york?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,299,"['pickup', 'delivery']","italian,pizza",rZZqZxyO-4S0ig4BFtIZ_g
J & M's Fish & Shrimp,40.8367919921875,-73.9387283325195,False,10032,New York,NY,$$,3.5,https://www.yelp.com/biz/j-and-ms-fish-and-shrimp-new-york?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,9,"['pickup', 'delivery']",seafood,SX7Q8rXjzDVzuOverx_3ig
Renaissance Harlem,40.8133399,-73.94467,False,10027,New York,NY,$$$,4.0,https://www.yelp.com/biz/renaissance-harlem-new-york?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,83,"['pickup', 'delivery']",newamerican,6AC4yhUdnh64zE6b5-n6OQ
Clay,40.8094002234406,-73.9536950700793,False,10027,New York,NY,$$$,4.5,https://www.yelp.com/biz/clay-new-york-3?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,100,[],"newamerican,bars",9fydXI0fj2s-EmlF7vm8Og
Hakki Baba,40.82341,-73.98964,False,07010,Cliffside Park,NJ,$$,4.5,https://www.yelp.com/biz/hakki-baba-cliffside-park?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,53,"['pickup', 'delivery']","turkish,mideastern,mediterranean",zm7BScbpr6Tv9zcnnOYjcQ
Home Sweet Harlem,40.81932,-73.95217,False,10031,New York,NY,$$,4.0,https://www.yelp.com/biz/home-sweet-harlem-new-york?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,366,"['pickup', 'delivery']","breakfast_brunch,newamerican,venues",04NdwZnSFH3FXFBtwCrrAg
354 Steakhouse,40.82771,-73.98748,False,07010,Cliffside Park,NJ,$$,4.0,https://www.yelp.com/biz/354-steakhouse-cliffside-park?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,107,"['pickup', 'delivery']","steak,cuban",XObe5xXdVXXJP3m0NEumqA
Rusty's Flavor,40.81356,-73.94445,False,10027,New York,NY,$,3.5,https://www.yelp.com/biz/rustys-flavor-new-york?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,32,[],"caribbean,seafood,soup",vsqp_lTJxqvqRXWwCHXy_A
Rustica Lounge Bar & Restaurant,40.82295,-73.98804,False,07010,Cliffside Park,NJ,$$,4.0,https://www.yelp.com/biz/rustica-lounge-bar-and-restaurant-cliffside-park?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,56,['restaurant_reservation'],"tradamerican,italian,lounges",nIYDlplPts4l2G-bMlQbNg
Guadalupe Restaurant,40.86739,-73.92083,False,10034,New York,NY,$$,4.0,https://www.yelp.com/biz/guadalupe-restaurant-new-york-3?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,547,"['pickup', 'delivery']","mexican,steak,seafood",2IrwjU67gguqLqQqZ1nFPg
809 Sangria Bar & Grill,40.86196,-73.9252,False,10040,New York,NY,$$,4.0,https://www.yelp.com/biz/809-sangria-bar-and-grill-new-york?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,191,['pickup'],"spanish,bars,caribbean",Qq_YecqcQ8dhC1P-SWXPOQ
Emma,40.8930625915527,-73.9741134643555,False,07631,Englewood,NJ,$$,4.0,https://www.yelp.com/biz/emma-englewood?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,300,['delivery'],"newamerican,desserts,breakfast_brunch",MAVQQzta-liFNgoeDP5z8A
Daisy's Grill,40.8078977,-73.9918175,False,07020,Edgewater,NJ,$$,4.0,https://www.yelp.com/biz/daisys-grill-edgewater?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,59,"['pickup', 'delivery']","mediterranean,sandwiches,breakfast_brunch",O_mkI6--eDcCYNI7HEAlWw
Indian Road Cafe,40.872915157013,-73.918440820966,False,10034,New York,NY,$$,4.0,https://www.yelp.com/biz/indian-road-cafe-new-york?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,544,[],"coffee,newamerican,bars",rUBFgZU3QTk7IOgpccE8Og
Enzo's Market,40.8497963,-73.9845642,False,07024,Fort Lee,NJ,$$,4.5,https://www.yelp.com/biz/enzos-market-fort-lee?adjust_creative=yfRntEao5SL6xaWeLEclfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yfRntEao5SL6xaWeLEclfw,65,[],"italian,delis,sandwiches",BdR0C95rL1Ymy_IBb-tFpg
