Id,Name,category,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music
wQ9e-NbQH2bX7OQZ0Xyf4g,Full House Seafood Restaurant,"Seafood,Cantonese",$11-30,$11-30,"
                                A
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,Yes,No,,Casual,Casual,Average,
UZlLBVnqs9Ikphin8CMVcA,Plan Check Kitchen & Bar,"Cocktail Bars,Gastropubs,American (Traditional)",$11-30,$11-30,"
                                A
                            ",54,75,111,283,449,Yes,Full Bar,,Yes,,Yes,Yes,"Street, Private Lot",,Yes,Yes,Yes,Free,,"Casual, Trendy",Casual,Average,
VdpxYO4hCKYo0eSF9r59ew,New Dragon Seafood Restaurant,"Chinese,Seafood",Under $10,Under $10,"
                                B
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
MN7cr3Xgw2AJh7YEggua5A,Kendall’s Brasserie,"French,Bars,Breakfast & Brunch",$31-60,$31-60,"
                                A
                            ",64,77,74,133,124,Yes,Full Bar,,Yes,,,Yes,"Valet, Garage",,Yes,Yes,,Free,,Classy,Dressy,Average,
WylKsZv1qKCDqrHd-joiOA,Michelangelo Ristorante,"Italian,Pizza",$11-30,$11-30,"
                                A
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,"Valet, Street, Private Lot",,Yes,Yes,,Free,,Romantic,Casual,Average,
Ks8hQ96-5WZW6l238Mbfxg,Wolfdown,"American (New),Asian Fusion,Korean",$31-60,$31-60,"
                                A
                            ",8,6,14,30,79,Yes,Beer & Wine Only,,Yes,,No,Yes,Valet,,Yes,Yes,,No,,"Hipster, Casual, Trendy, Intimate, Romantic",Casual,Average,
XKcHgQ75rl0nUv21sHUJ1w,Moodaepo II,"Korean,Barbeque,Bars",$11-30,$11-30,"
                                A
                            ",264,166,296,586,308,Yes,Beer & Wine Only,,No,,,No,Valet,,No,Yes,,No,,Casual,Casual,Loud,
4lfzJCUnLiHo4qEQ9Plqwg,Buffalo Wild Wings,"Sports Bars,American (Traditional),Chicken Wings",$11-30,$11-30,"
                                A
                            ",0,0,0,0,0,Yes,Full Bar,,,,,No,,,Yes,Yes,,Free,,"Casual, Trendy",,Loud,
SYHP98CMB3JrPhFZlJDkgg,George’s Greek Grill,"Greek,Mediterranean,Sandwiches",$11-30,$11-30,"
                                A
                            ",0,0,0,0,0,Yes,No,,Yes,,,Yes,"Valet, Garage, Private Lot, Validated",,Yes,No,,Free,,Casual,,Average,
G_V5eJFfYlTEERyIPR-8MQ,Otium,American (New),$31-60,$31-60,"
                                A
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,No,Yes,"Valet, Garage, Street, Validated",,Yes,Yes,Yes,Free,,Trendy,Casual,Average,
c1g6WMRsJ9yrv0D_fyhlpw,Patina Restaurant,French,Above $61,Above $61,"
                                A
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Valet, Garage, Validated",,No,Yes,,No,,"Classy, Upscale",Dressy,Quiet,
_LJ2Ub-G-UBQI9pHQvE-bA,Desert Rose Restaurant,"Mediterranean,American (New),Bars",$11-30,$11-30,"
                                A
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,"Valet, Street",,Yes,Yes,,Free,,Romantic,Casual,Average,Live
fD4ntpbf92ufSHn5tSmSxA,DeSano Pizza Bakery,"Pizza,Italian",$11-30,$11-30,"
                                A
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,No,No,Private Lot,,Yes,No,Yes,Free,,Casual,Casual,Average,
kAa-lh23z7_-nCMny2-I4Q,Ocean Seafood Restaurant,"Dim Sum,Seafood,Venues & Event Spaces",$11-30,$11-30,"
                                A
                            ",135,164,291,306,130,Yes,Full Bar,,Yes,,,No,"Valet, Street, Private Lot",,Yes,Yes,,No,,Casual,Casual,Average,
BRmZGc_0QFZKy_8287c7zA,Golden Dragon Restaurant,"Dim Sum,Seafood,Cantonese",$11-30,$11-30,"
                                C
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,
qLEz9y4lYHzEBko0o6SXpQ,LA Prime,Steakhouses,Above $61,Above $61,"
                                A
                            ",52,67,134,210,352,Yes,Full Bar,,No,,,No,Valet,,No,Yes,,No,,"Intimate, Romantic, Classy, Upscale",Dressy,Quiet,
U59iKvMk10XvylspZlt0ZQ,Holy Crab,Seafood,$11-30,$11-30,"
                                A
                            ",71,48,61,116,193,Yes,Beer & Wine Only,,No,,No,No,Valet,,Yes,Yes,Yes,Free,,Casual,Casual,Average,
jS8MhTJpHmGYuxcKonGG-A,Kismet,"Mediterranean,American (New),Middle Eastern",$11-30,$11-30,"
                                A
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,No,No,"Valet, Street",,No,Yes,Yes,No,,"Hipster, Casual, Trendy",Casual,Average,
kaBIHYqe06aC5lXHMOVc7A,Nick + Stef’s Steakhouse,Steakhouses,$31-60,$31-60,,37,35,61,98,238,Yes,Full Bar,,Yes,,,Yes,"Valet, Street, Validated",,Yes,Yes,,Free,,"Classy, Upscale",Dressy,Average,
PK9bwd-vOUNFM7ef68rN8g,Blair’s Restaurant,Italian,$31-60,$31-60,"
                                A
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,"Intimate, Romantic",Casual,Average,
