Id,Name,category,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music
JQEqfBBNAlgaN1WwrmJbGQ,Crawfish N More,"Cajun/Creole,Seafood",$11-30,$11-30,"
                                100 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,No,No,Private Lot,,Yes,No,Yes,No,,Casual,Casual,Average,
z_b9nZMf7CMkpZLApCGEmw,Taquerias Arandas,"Mexican,Breakfast & Brunch,Seafood",Under $10,Under $10,"
                                94 out of 100
                            ",4,5,7,7,8,Yes,Beer & Wine Only,,Yes,,,No,Private Lot,,Yes,No,,No,,Casual,Casual,Loud,
DIIkt-9jIHdGO1_F2Bj9Nw,Los Cucos Mexican Cafe - Clay,"Mexican,Bars,Tex-Mex",$11-30,$11-30,"
                                92 out of 100
                            ",38,22,27,32,35,Yes,Full Bar,,Yes,,No,Yes,Private Lot,,Yes,Yes,,No,,Casual,Casual,Average,
MAFdtMFDRfjfmfzuoD_8rA,Hank’s Crawfish Bar & Grill,"Cajun/Creole,Seafood,Beer Bar",$11-30,$11-30,"
                                88 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,Yes,Private Lot,,Yes,Yes,,Free,,Casual,Casual,Average,
vjtueSU2A2UEnJdw67i9Wg,Gran Colombia Restaurante,"Colombian,Seafood,Breakfast & Brunch",Under $10,Under $10,"
                                86 out of 100
                            ",6,2,7,22,28,Yes,No,,Yes,,,No,Private Lot,,Yes,No,,No,,Casual,Casual,Average,
UeCrzGBxsJR2O1RFNUPlZg,The Bayou Sports Bar And Grill,Sports Bars,Moderate,Moderate,"
                                97 out of 100
                            ",0,1,1,2,3,Yes,Beer & Wine Only,,,,,Yes,Private Lot,,,Yes,,Free,,,,Average,
DK_-WdFdbCFWtkNbm4FZyg,Cafe Benedicte,"American (New),Breakfast & Brunch,Burgers",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Private Lot,,Yes,Yes,,Free,,,Casual,Average,
6CZWccw-3uTuGbG2FFE-7Q,Amar Indian-European Cuisine,"Indian,Modern European",$11-30,$11-30,,2,3,0,12,77,Yes,Beer & Wine Only,,Yes,,,Yes,Private Lot,,Yes,Yes,Yes,Free,,Casual,Casual,Quiet,
eWTfIYBQQGPQheREBLnHxw,Aguirre’s Tex-Mex,"Tex-Mex,Mexican,Bars",$11-30,$11-30,"
                                90 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Private Lot,,Yes,,Yes,No,,Casual,Casual,Average,
cwfrrTkhhds427yDndUMxQ,Petit Cafe Mediterranean Grill,"Greek,Mediterranean,Lebanese",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,Yes,Private Lot,,Yes,Yes,Yes,Free,,Casual,Casual,Quiet,
LuRSoQZ-HD6GtXF0cYfPLg,Island Spice Bar & Grill,"Caribbean,Bars",$11-30,$11-30,"
                                98 out of 100
                            ",14,9,10,22,54,Yes,Full Bar,,Yes,,,No,Private Lot,,Yes,Yes,,Free,,Casual,Casual,Average,DJ
Ri-wbAVnC6QgcznpWerPfQ,Havana Houston,"Cuban,Seafood,Steakhouses",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,No,Yes,"Valet, Private Lot",,Yes,Yes,Yes,Free,,"Romantic, Upscale",Dressy,Quiet,
VxG6D5YldtJfiSzGxZ7FEA,Fatoush  Mediterranean Grill & Cafe,"Mediterranean,Hookah Bars",$11-30,$11-30,"
                                90 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,Yes,Private Lot,,Yes,Yes,,Free,,Casual,Casual,Quiet,
CR3dPONyM_-rea2m7_oCjw,LTK Crawfish,"Cajun/Creole,Seafood,American (Traditional)",$11-30,$11-30,"
                                95 out of 100
                            ",9,10,14,27,95,Yes,No,,Yes,,,No,Private Lot,,Yes,No,,No,,Casual,Casual,Average,
9p61hOdz5-Ui3URxad6zXQ,The Devine Affair,"Italian,Seafood,Wine Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,Yes,Yes,Private Lot,,Yes,Yes,Yes,No,,Upscale,Casual,Quiet,
RVdYuJ9QBgR-VGwBq19Bag,Brenner’s Steakhouse,"Steakhouses,American (New),Venues & Event Spaces",$31-60,$31-60,,14,14,18,43,89,Yes,Full Bar,,Yes,,,Yes,"Valet, Private Lot",,Yes,Yes,,Free,,Classy,Dressy,Average,
expuw9Vq0zSU67vzhqo0LQ,Buffalo Wild Wings,"Chicken Wings,American (Traditional),Sports Bars",$11-30,$11-30,"
                                95 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,Yes,,,Yes,No,,Free,,Casual,,Average,
p3IxCvX0OTZmP2mIo4tumg,China Inn,"Chinese,Seafood,Noodles",Under $10,Under $10,"
                                83 out of 100
                            ",8,4,7,9,19,Yes,No,,Yes,,,No,Private Lot,,Yes,No,,No,,,Casual,Quiet,
l9P8h9PbUSRnOzKEOLvWYw,Niko Niko’s Greek & American Café,"Mediterranean,Greek,American (New)",$11-30,$11-30,,44,46,35,54,92,Yes,Beer & Wine Only,,Yes,,,Yes,Private Lot,,Yes,No,,Free,,Casual,Casual,Average,
e9vc1j0z9fRumdPzWnVCDw,Texas de Brazil,"Steakhouses,Brazilian,Venues & Event Spaces",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Garage,,Yes,Yes,Yes,No,,"Classy, Upscale",Casual,Average,
MLLDgk605Qaoe6Vgkvd2NA,Hotspot Cajun Seafood House,"Seafood,Cajun/Creole",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,,,Yes,No,,Free,,Casual,Casual,Average,
y-fYpCUC5UCyCLt_8ChAdA,The Capital Grille,"Steakhouses,Seafood,Wine Bars",$31-60,$31-60,,6,11,24,41,127,Yes,Full Bar,,Yes,,,Yes,,,Yes,Yes,,Free,,"Classy, Upscale",Dressy,Average,
1-i9Iq7J8pvwrmW9Fqf4SA,Zayed’s Mediterranean Buffet,"Mediterranean,Salad,Caterers",$11-30,$11-30,,8,5,3,4,20,Yes,No,,,,,Yes,"Valet, Garage, Street, Private Lot, Validated",,Yes,Yes,Yes,Free,,,Casual,,
Eau961yW93F1Lpq30eiiAw,Radio Milano,"Italian,Wine Bars,Cocktail Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,"Valet, Garage, Validated",,No,Yes,,Free,,Classy,Dressy,Average,
ZmY31p5jQRpkq_xOJU39nA,Yard House,"Bars,American (New),Vegetarian",$11-30,$11-30,,88,109,204,357,224,Yes,Full Bar,,Yes,,No,Yes,"Valet, Garage, Street",,Yes,No,,Free,,Casual,Casual,Loud,
3V66e_27HUGzaW_kVcyjjg,Frenchy’s Chicken,"Cajun/Creole,Soul Food,Chicken Shop",$11-30,$11-30,"
                                90 out of 100
                            ",8,4,1,5,12,Yes,No,,,,,No,,,Yes,No,,No,,,Casual,,
bR18flOOI1Y0OAs5p-8J5w,McCormick & Schmick’s Seafood & Steaks,"Seafood,American (Traditional),Steakhouses",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Valet,,Yes,Yes,,Free,,Trendy,Dressy,Average,
uUBTY4SsktQf2FCR-RCA3w,Brio Tuscan Grille,"Italian,Breakfast & Brunch,Gluten-Free",$11-30,$11-30,,29,36,80,132,89,Yes,Full Bar,,Yes,,,Yes,"Garage, Street",,Yes,Yes,,Free,,Classy,,Average,
O1gGj8WKnV3qiM6hdIJ7CQ,La Madeleine French Bakery & Cafe,"Bakeries,French",$11-30,$11-30,,24,16,21,28,17,Yes,Beer & Wine Only,,Yes,,,Yes,Private Lot,,Yes,No,,Free,,Casual,Casual,Loud,
bRA-zzvte71rq5x45J7-zQ,Taste of Texas,"Steakhouses,Wine Bars",$31-60,$31-60,,43,58,97,244,787,Yes,Full Bar,,No,,,No,Private Lot,,Yes,No,,Free,,Classy,Casual,Average,
7VOtHB8Iua_tTuALsUUjgw,Pappadeaux Seafood Kitchen,"Seafood,Cajun/Creole,Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Private Lot,,Yes,Yes,,Free,,Casual,Casual,Average,
tKz8gfZo6myL7LfCblyREQ,Pappasito’s Cantina,"Tex-Mex,Seafood,Cocktail Bars",$11-30,$11-30,,59,36,53,111,104,Yes,Full Bar,,Yes,,,Yes,Private Lot,,Yes,Yes,,Free,,Casual,Casual,Loud,
R-W_OXrdMnyF5Obn2osUlg,Long John Silver’s,"Seafood,Tacos,Sandwiches",Under $10,Under $10,,0,0,0,0,0,Yes,No,,No,,,No,Private Lot,,Yes,No,,No,,,,Quiet,
yIIBinX7jh_SzNJS_TSw7w,Shish Kabob Cafe,"Middle Eastern,Persian/Iranian,Kebab",Under $10,Under $10,,0,0,0,0,0,Yes,No,,Yes,,,Yes,Private Lot,,Yes,Yes,,Free,,,Casual,Average,
O55x30MbuYHgIdnfP6PxIg,Maine-ly Sandwiches,"Seafood,Soup,Sandwiches",$11-30,$11-30,"
                                92 out of 100
                            ",3,9,13,7,22,Yes,,,,,,No,,,Yes,No,,,,Casual,,,
hBDyMM7g3Gy3ucKgLPUvZg,Adriatic Cafe  Italian Grill,"Italian,Wine Bars,Pizza",$11-30,$11-30,"
                                94 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,Yes,Private Lot,,Yes,No,Yes,No,,Casual,Casual,Average,
IxrWfPEVjdNIkE2EshBgHg,Piccolo Cafe,"Italian,Cafes",$11-30,$11-30,"
                                99 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,Yes,Private Lot,,Yes,Yes,,No,,Casual,Casual,Quiet,
2che358Nd2sQoX4j9E0HQA,Texas Roadhouse,"Steakhouses,Barbeque,American (Traditional)",$11-30,$11-30,"
                                90 out of 100
                            ",39,21,26,64,65,Yes,Full Bar,,Yes,,,No,Private Lot,,Yes,No,,No,,Casual,Casual,Loud,
yBOed_HywFXyPVa_Vz6iTQ,Orleans Seafood Kitchen,"Cajun/Creole,Seafood",$11-30,$11-30,"
                                100 out of 100
                            ",26,19,45,106,140,Yes,Full Bar,,Yes,,No,Yes,Private Lot,,Yes,No,,Free,,Casual,Casual,Average,
3ZMjCTIGUOkMVLjUJeXmRA,La Guitarra con Sazon,"Latin American,Peruvian,Seafood",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Private Lot,,Yes,Yes,Yes,No,,Casual,Casual,Average,
Nfxp3yzYQHO5z4Uyfpl6uw,Churrascos Memorial City,"Latin American,Brazilian,Seafood",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,"Valet, Garage",,Yes,Yes,,Free,,"Trendy, Upscale",Casual,Average,
_o26ywhvAPI6OzBBLB6dzw,State Fare Kitchen & Bar,"Southern,Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,"Garage, Validated",,Yes,Yes,Yes,Free,,"Casual, Trendy",Casual,Average,
ymHpqTrC-zEHKZAchtXKiw,Jimmy Changas,"Mexican,Tex-Mex,Bars",$11-30,$11-30,"
                                90 out of 100
                            ",22,40,53,104,155,Yes,Full Bar,,Yes,,,Yes,Private Lot,,Yes,No,,Free,,Casual,Casual,Average,
ewKB645_Gw79ojabJAH02A,Cafe Caspian,Persian/Iranian,$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,No,Private Lot,,Yes,Yes,,Free,,,Casual,Average,
HWfKOElPDzykqMArZJ2k_w,Chuy’s,"Mexican,Tex-Mex,Bars",$11-30,$11-30,"
                                92 out of 100
                            ",50,25,40,60,71,Yes,Full Bar,,Yes,,,Yes,Private Lot,,Yes,No,,No,,Casual,Casual,Average,
ZVLUnC1kyifTEA-BBjIt9w,Mascalzone,"Pizza,Italian,Wine Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Private Lot,,Yes,Yes,Yes,Free,,Casual,Casual,Average,
PXJYy8CLGcsp85o0RZHvaQ,Sayad Mediterranean Grill,"Mediterranean,Seafood",$11-30,$11-30,,0,0,0,0,0,Yes,No,,Yes,,,Yes,Private Lot,,Yes,Yes,,No,,Classy,Casual,Average,
2WIwCGnGRHGIasaQq4SXRg,The Union Kitchen,American (New),$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Private Lot,,Yes,Yes,,No,,Casual,Casual,Average,
ahfO5CGkh6lAdFrJljRPfw,Pappadeaux Seafood Kitchen,"Cajun/Creole,Seafood",$11-30,$11-30,,31,21,24,43,47,Yes,Full Bar,,Yes,,,No,Private Lot,,Yes,Yes,,No,,Classy,Casual,Average,
fqykkJW_qllsiNRY6cd_hg,88 Boiling Crawfish and Seafood,"Seafood,Cajun/Creole",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,Yes,Private Lot,,Yes,No,,No,,Casual,Casual,Average,
r-kPn58SJQEnpZAlyU3bxw,Catfish Station,"Seafood,Salad,Desserts",$11-30,$11-30,"
                                97 out of 100
                            ",0,0,0,0,0,Yes,No,,Yes,,No,Yes,Private Lot,,Yes,No,Yes,Free,,Casual,Casual,Average,
OUm7vw21I5binvSwY9AmnA,Garbanzo Mediterranean Fresh,Mediterranean,Under $10,Under $10,,0,0,0,0,0,Yes,No,,Yes,,,Yes,"Garage, Private Lot",,Yes,Yes,Yes,Free,,Casual,Casual,Average,
Tj6cwjByMoAqgjkWbW_HwA,Toro Japanese Steakhouse & Sushi Bar,"Japanese,Sushi Bars,Steakhouses",$11-30,$11-30,"
                                97 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Private Lot,,Yes,Yes,,No,,Casual,Casual,Average,
aJ66huupUtonB5YAb2SgKQ,Fish Skillet Seafood,"Seafood,Cajun/Creole,Fast Food",Under $10,Under $10,,13,5,6,27,27,Yes,No,,Yes,,,No,Private Lot,,Yes,No,,Free,,Casual,,Quiet,
XMKk51-d6AHCEjXIw73y5A,Lotus Seafood,"Cajun/Creole,Seafood,Chicken Wings",$11-30,$11-30,,16,11,49,91,148,Yes,No,,No,,,No,Private Lot,,Yes,No,,No,,Casual,,Average,
y6rNHFKO0kuEAf1yYL_ifw,Island Grill,"Mediterranean,Juice Bars & Smoothies,American (Traditional)",$11-30,$11-30,,5,14,17,37,50,Yes,Beer & Wine Only,,Yes,,,Yes,Private Lot,,Yes,No,No,No,,Casual,Casual,Average,
rQE66Di9riO1QH5DUxqUeg,Tree Garden Korean Restaurant,"Korean,Seafood,Barbeque",$11-30,$11-30,,5,2,9,22,30,Yes,Full Bar,,Yes,,,No,Private Lot,,Yes,Yes,,Free,,Casual,Casual,Very Loud,
ihuJAnMJMZ9atEdj11hqCw,Kabob Korner,"Mediterranean,Halal,Kebab",$11-30,$11-30,"
                                80 out of 100
                            ",25,19,28,61,121,Yes,No,,Yes,,,No,Private Lot,,Yes,Yes,,No,,Casual,Casual,Average,
RItEq7lRIKuzPZczQZ0L5Q,Ephesus Mediterranian Grill,"Mediterranean,Turkish,Halal",$11-30,$11-30,"
                                84 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,Yes,Private Lot,,Yes,Yes,,No,,Casual,Casual,Quiet,
z594rkgmYYlGUBA3sF_9Gw,LongHorn Steakhouse,"Steakhouses,American (Traditional),Barbeque",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Private Lot,,Yes,Yes,,No,,Casual,Casual,Average,
