Id,Name,category,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music
FliyHfin979wf72xfu9a5w,Don Pancho’s,Steakhouses,$11-30,$11-30,"
                                A
                            ",11,12,11,28,36,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,Yes,No,,Casual,Casual,Very Loud,
wpye6v-2fIx7Z2Sz12XubA,Barawine,Wine Bars,Moderate,Moderate,,0,0,0,0,0,Yes,Beer & Wine Only,,,,No,Yes,Street,,,Yes,,Free,,Casual,,Average,
D7w3Nk3H0oDYZSIAaRgYRA,Sexy Taco/Dirty Cash,"Cocktail Bars,American (New),Mexican",$11-30,$11-30,"
                                A
                            ",0,0,0,0,0,Yes,Full Bar,,No,,No,Yes,Street,,Yes,Yes,Yes,Free,,"Casual, Trendy",Casual,Average,
J9xVQScnr0lYWl61_mLXMA,Lido,"Italian,Breakfast & Brunch,Cocktail Bars",$11-30,$11-30,"
                                A
                            ",30,50,100,306,356,Yes,Full Bar,,No,,,Yes,"Garage, Street",,Yes,Yes,,Free,,Casual,Casual,Average,
SlPxySdM08oUi-3sdwz7Lg,Santorini Taverna,"Greek,Mediterranean,Seafood",$11-30,$11-30,,9,20,11,27,43,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,No,,Romantic,Casual,Average,
6fuBkRzFEuIGexlxJx4RrA,Blujeen,"American (New),Comfort Food,Barbeque",$11-30,$11-30,"
                                A
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,No,"Garage, Street",,Yes,Yes,Yes,No,,"Casual, Trendy",Casual,Average,
C29qVHuUDyFoQQPaFOpGfQ,The Tea Bar,"Cafes,American (New),Korean",$11-30,$11-30,,13,12,29,89,61,Yes,Beer & Wine Only,,Yes,,No,Yes,"Street, Private Lot",,Yes,Yes,Yes,Free,,Casual,Casual,Average,
8pHKqPb1VjaYVk8JaGyNxg,It’s Greek To Me,"Greek,Mediterranean",$11-30,$11-30,,27,23,29,33,20,Yes,No,,Yes,,,Yes,"Street, Private Lot",,Yes,Yes,,No,,Casual,Casual,Average,
LW_t_KO6SybdAHMtNilAEA,The Restaurant at MIST,"Wine Bars,Venues & Event Spaces",Moderate,Moderate,,13,5,11,18,24,Yes,Beer & Wine Only,,,,,Yes,Street,,,Yes,,Free,,,,Average,
Fk495HaokZDrGkAG8s_dlg,Bier International,"German,Bars",$11-30,$11-30,"
                                A
                            ",21,32,76,126,50,Yes,Beer & Wine Only,,Yes,,,Yes,Street,,Yes,No,Yes,Free,,Casual,Casual,Average,
DzlCEhXW6OadK6ETcmJpwQ,67 Orange Street,"Lounges,Cocktail Bars",Moderate,Moderate,"
                                A
                            ",0,0,0,0,0,Yes,Full Bar,,,,No,No,Street,,,Yes,,Free,,Intimate,,Average,
V7_IQ1ab69JilAlgrSnMXg,L Encanto D Lola,"Mexican,Bars",$11-30,$11-30,"
                                A
                            ",30,20,33,85,76,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,No,,Casual,Casual,Average,
UH_aksIxzGPPyhWZJbTP7A,Cantina Taqueria & Tequila Bar,"Mexican,Latin American,Cocktail Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,Yes,,,Free,,"Casual, Trendy",Casual,Average,
NIGRsA3aRFQUEtxl63IAMQ,The Big Red Tomato,"Pizza,Italian",$11-30,$11-30,,24,18,40,78,60,Yes,No,,Yes,,No,No,Street,,Yes,No,,Free,,Casual,Casual,Average,
u2ATaaV_oysUAlhRhzrAUA,U Like,"Chinese,Seafood",Under $10,Under $10,,0,0,0,0,0,Yes,No,,Yes,,,No,Private Lot,,Yes,No,,No,,Casual,Casual,Average,
MdFV5IBcX-Ni6I4Zy1EqIw,Marlow Bistro,"Mediterranean,Pizza,Venues & Event Spaces",$11-30,$11-30,"
                                A
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,Yes,Free,,"Casual, Trendy",Casual,Average,
foRWizWrQ32g6Vv4g9UTnA,Nocciola Ristorante,Italian,$11-30,$11-30,"
                                B
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,No,No,Street,,Yes,Yes,Yes,Free,,Intimate,Casual,Average,
Qq_YecqcQ8dhC1P-SWXPOQ,809 Sangria Bar & Grill,"Spanish,Bars,Caribbean",$11-30,$11-30,"
                                B
                            ",13,13,30,63,72,Yes,Full Bar,,Yes,,No,No,"Valet, Street",,Yes,Yes,Yes,Free,,Trendy,Casual,Average,DJ
