Id,Name,category,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music
z13gyo3YQnqPYRoQXMxvEg,Emmett Watson’s Oyster Bar,"Seafood,Live/Raw Food,Fish & Chips",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,Yes,,,Yes,No,,No,,Casual,Casual,Average,
Yt6FUNC5g5-UAOrqn4aqZQ,Cantina de San Patricio,"Mexican,Cocktail Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,Free,,Casual,Casual,Average,
CtWyb9g7OL2FVbt6J4ucVw,Kells Irish Restaurant & Pub,"Irish,Irish Pub",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,No,No,,Free,,Casual,Casual,Average,
VOPdG8llLPaga9iJxXcMuQ,The Pink Door,"Italian,Wine Bars,Seafood",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Garage, Street",,No,Yes,No,Free,,Romantic,Casual,Average,
UoDpuMVth1qUVapDz6caXQ,Steelhead Diner,"Diners,Seafood,American (Traditional)",$11-30,$11-30,,97,147,248,492,426,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,Casual,,Average,
6I28wDuMBR5WLMqfKxaoeg,Pike Place Chowder,"Seafood,Soup",$11-30,$11-30,,75,141,580,1909,3437,Yes,No,,Yes,,Yes,Yes,Street,,Yes,No,,Free,,"Casual, Touristy",Casual,Average,
ziJexMx2QRd4kYMVbvaezQ,Mr. D’s Greek Delicacies,"Greek,Fast Food,Mediterranean",Under $10,Under $10,,10,11,28,74,91,Yes,No,,No,,,No,Street,,Yes,No,,No,,"Casual, Touristy",,Average,
G0rZd0e7KdgjL9tX0CqVug,Lowell’s Restaurant,"American (Traditional),Breakfast & Brunch,Seafood",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,Yes,No,,No,,"Casual, Touristy",Casual,Average,
fZQ-ALxlDkyM2gA2zmqo4w,Scout,American (New),$31-60,$31-60,,22,23,24,28,63,Yes,Full Bar,,No,,,Yes,Valet,,Yes,Yes,Yes,Free,,Trendy,Casual,Average,
-Ym-Y_Pd_D7NbHrpEuDfBg,Le Pichet,"French,Wine Bars,Brasseries",$11-30,$11-30,,45,55,101,335,417,Yes,Full Bar,,No,,,Yes,Street,,No,Yes,,No,,Casual,Casual,Average,
