yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
--C0c7r1r9HTs3YSgE2_Vg,10.0,7.0,3.0,15.0,2.0,13.0,11.0,,1.0,1.0,,4.0,3.0,,3.0,,
--jJFnKK54AxJ7NEFeE--Q,8.0,5.0,2.0,11.0,,4.0,2.0,4.0,,,,9.0,,,2.0,,
-3G8D2pqqLCtgluupYHrSg,20.0,15.0,14.0,60.0,1.0,13.0,23.0,1.0,9.0,2.0,1.0,8.0,,,,,
-5q4bbrlZfMzmmpK61evUA,6.0,1.0,,24.0,2.0,13.0,5.0,,1.0,,2.0,5.0,,,,,
-73lYnIMpqXG5gVTQOpH8g,60.0,60.0,51.0,3.0,1.0,60.0,51.0,1.0,16.0,,4.0,19.0,13.0,1.0,2.0,,
-AD92wSIEaML5_fz8XF48A,5.0,1.0,6.0,12.0,,21.0,4.0,,7.0,1.0,,9.0,,,,,
-C2vxDphxWzYPLgNgdKJAQ,9.0,4.0,15.0,10.0,1.0,23.0,10.0,,8.0,3.0,3.0,17.0,2.0,,1.0,,
-CW_jNF0-x1RAhlGjX3JUg,6.0,5.0,16.0,30.0,4.0,8.0,21.0,1.0,6.0,4.0,1.0,6.0,6.0,,3.0,,
-DuOmqdjRD6YIJAebIVB1A,1.0,4.0,5.0,6.0,1.0,12.0,2.0,,3.0,,,3.0,1.0,,,,
-G3AyLXk0WQyV6s9aG2H5w,3.0,,2.0,,2.0,1.0,1.0,,,,,2.0,,,,,
-GAe9kEjajWOxu10IMkkCw,35.0,15.0,39.0,31.0,1.0,45.0,20.0,,11.0,,,11.0,4.0,,1.0,,
-IGOvZc56GdROqf7ZQNA4Q,,,1.0,7.0,,5.0,1.0,2.0,1.0,,,5.0,1.0,,,,
-KU85mmm1mlqIzKnlVdjFQ,7.0,3.0,1.0,13.0,1.0,5.0,,4.0,3.0,,,3.0,,,,,
-KnOVO3IF0mL-O_sVSCCWA,17.0,5.0,23.0,60.0,6.0,29.0,28.0,,15.0,2.0,1.0,13.0,9.0,,,,
-L6KOOnxcjCQwHLtqR0NQQ,7.0,2.0,2.0,20.0,1.0,9.0,3.0,2.0,7.0,1.0,,12.0,,,1.0,,
-Ligzd_8jZYP9IYgqDCUTA,6.0,1.0,19.0,12.0,,6.0,4.0,,3.0,,,,1.0,,,,
-O877Qs5xqqRnhA7r2BXGg,24.0,9.0,9.0,33.0,4.0,22.0,12.0,2.0,20.0,1.0,3.0,19.0,2.0,,1.0,,
-OijSrYVJ0hjKqD0ZY015g,14.0,2.0,12.0,60.0,,11.0,7.0,1.0,14.0,1.0,1.0,3.0,3.0,,5.0,,
-Qcwd1FPZdKlfxQnI_yCww,31.0,14.0,36.0,60.0,6.0,34.0,32.0,,24.0,5.0,2.0,12.0,9.0,,,,
-R8xhhsWVpGTNyYXP3hL-A,10.0,3.0,2.0,19.0,,5.0,6.0,,4.0,,,6.0,3.0,,,,
-RXOEbEfZGhICePHtEoMPQ,10.0,1.0,2.0,5.0,1.0,28.0,3.0,2.0,2.0,,,9.0,,,,,
-U8EYStZ75owqbnPpCCP5g,1.0,2.0,5.0,6.0,1.0,10.0,2.0,,3.0,,,3.0,1.0,,,,
-VLiaI7aa3RRIKfbvcjqKA,6.0,2.0,1.0,,,8.0,2.0,2.0,3.0,,,3.0,,,,,
-ajAXnie4xn1nZmue_7nfA,11.0,,6.0,,,24.0,4.0,,1.0,,,1.0,2.0,,,,
-eCXmQGwpnoEVVS-sen-iw,32.0,14.0,38.0,60.0,6.0,34.0,32.0,,24.0,5.0,2.0,13.0,9.0,,,,
-eP6u2nQqZOb6mPJko_2UQ,5.0,2.0,4.0,19.0,1.0,19.0,2.0,3.0,5.0,,,4.0,1.0,,,,
-g3SehMkxegOQnTJa4E-_g,5.0,1.0,12.0,,,16.0,15.0,,,1.0,4.0,1.0,6.0,,,,
-kXz-ND_kQuBnOhpdlN7gA,6.0,4.0,2.0,5.0,,8.0,2.0,,1.0,,1.0,7.0,,,1.0,,
-nbQqcZiTKU_haMc76Z9sg,12.0,7.0,3.0,32.0,,7.0,6.0,,5.0,,1.0,3.0,3.0,,,,
-s5KrnC2hMWWMHpO5CHlXw,10.0,5.0,2.0,6.0,,10.0,,1.0,2.0,,,3.0,2.0,,,,
-tkNF_HNXX4_2LhE-ImVeg,1.0,,1.0,10.0,,4.0,3.0,,,,,6.0,,,,,
-urNLXq1RYUDAy5XCWLaqQ,10.0,5.0,12.0,51.0,1.0,17.0,4.0,3.0,12.0,5.0,2.0,9.0,2.0,,1.0,,
-wDNc5CEv0AVc07ob4KF5A,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,4.0,,,,,
0-6M9UEezVHpVZWrZ8vmSA,5.0,1.0,15.0,3.0,,6.0,4.0,,,,,,1.0,,,,
02s1Xh8GRSf58LTdA8Lb4g,7.0,3.0,15.0,9.0,2.0,19.0,6.0,1.0,14.0,1.0,1.0,11.0,,,,,
04BE4rTvzc8y7hkakJtUnA,11.0,1.0,1.0,9.0,1.0,33.0,3.0,,2.0,,1.0,18.0,,,,,
052E2HI2Hy0FCoRlqYD3tA,2.0,,8.0,11.0,1.0,11.0,9.0,,7.0,,,7.0,1.0,,,,
05kdxlNsNeCL-qo4b8EoJw,15.0,4.0,7.0,14.0,1.0,15.0,6.0,3.0,3.0,1.0,,2.0,2.0,,,,
08k0jjos42MrcMxtiOlPxA,27.0,14.0,14.0,40.0,2.0,27.0,24.0,,8.0,8.0,4.0,18.0,2.0,,3.0,,
