yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
-0C8fX1Xws1mkGAToK2qtg,4.0,3.0,3.0,8.0,3.0,13.0,4.0,2.0,2.0,1.0,,1.0,2.0,,,,
-5JwknVLIT36YTGhvkuBaw,11.0,2.0,2.0,12.0,,14.0,1.0,6.0,1.0,,,3.0,,,,,
-6K4x5d3IfeF1LMcOXmJIw,20.0,14.0,18.0,17.0,,7.0,5.0,,4.0,,,3.0,,,2.0,,
-KrQ1gOiyXCbffsWyc5SNQ,19.0,10.0,26.0,27.0,4.0,36.0,24.0,,22.0,7.0,3.0,36.0,2.0,2.0,1.0,,
-QIPdiq5ILg_EJqdVoCqEA,53.0,15.0,60.0,45.0,2.0,21.0,50.0,,13.0,8.0,8.0,60.0,13.0,2.0,3.0,,
-RjWOm2CnGmzwmv4ZMfI3Q,,,5.0,2.0,,9.0,1.0,4.0,,,,1.0,,,,,
-TDMW5TWfFlnnRgQZ71yeg,1.0,,1.0,2.0,,21.0,1.0,,1.0,,,5.0,,,,,
-UX8YtMlNX0XrDome7q4hw,32.0,10.0,21.0,60.0,2.0,28.0,16.0,,10.0,,,21.0,8.0,2.0,6.0,,
-YazuZbXAM_NOny8LpLQpQ,1.0,2.0,1.0,7.0,,21.0,1.0,1.0,,,,1.0,1.0,,1.0,,
-a5EfIQzUrb1pnMQpsvslw,4.0,1.0,5.0,11.0,,15.0,3.0,6.0,5.0,,,2.0,2.0,,,,
-aievhVzik4nHkxQFXFUrg,20.0,3.0,6.0,22.0,,25.0,10.0,1.0,2.0,,2.0,20.0,2.0,,2.0,,
-ebwX4cjBDsZtPnvW1M_BA,9.0,,10.0,1.0,1.0,6.0,,,2.0,,3.0,1.0,,,,,1.0
-f3GB9AGUqLFkXorluMFTQ,21.0,5.0,8.0,14.0,,27.0,4.0,,,,,11.0,,1.0,1.0,,
-hUvO0C0A-pGZdiSKvjoFw,53.0,15.0,60.0,60.0,10.0,25.0,60.0,,14.0,5.0,5.0,60.0,3.0,3.0,3.0,,1.0
