,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
0,90004,64000,10466,1962,94,16540,39,216,876,31987,75.5%,,10.5%,6.9%,32.7 minutes,47.2%,39.6%,2.6%,3.2%,7.4%
1,90005,39902,3039,1788,35,12661,9,81,490,19578,69.2%,,5.9%,7.8%,34.7 minutes,51.0%,33.9%,2.7%,4.3%,8.1%
2,90006,62108,1861,1862,77,10822,32,146,311,44074,56.4%,,3.3%,9.1%,35.8 minutes,49.9%,35.3%,3.3%,4.3%,7.2%
3,90007,42581,7053,4306,39,6243,34,207,871,22167,64.8%,,8.1%,10.2%,30.2 minutes,70.0%,22.1%,1.9%,2.7%,3.3%
4,90008,32519,731,22152,63,820,24,173,803,7561,83.4%,,13.9%,8.6%,33.6 minutes,44.2%,32.8%,3.1%,5.9%,14.0%
5,90010,3574,723,160,3,2503,1,4,63,343,94.2%,,13.6%,5.4%,27.4 minutes,42.5%,39.9%,2.1%,3.7%,11.8%
6,90012,33009,4342,4085,46,13637,48,57,462,8426,66.4%,,9.9%,5.2%,28.3 minutes,50.9%,32.1%,3.6%,6.3%,7.0%
7,90013,11835,3301,3731,103,1814,14,34,366,2409,83.2%,,12.7%,10.8%,32.4 minutes,60.0%,20.0%,4.5%,5.1%,10.4%
8,90014,7294,2158,2005,60,1135,10,18,240,1379,83.3%,,13.4%,8.9%,33.1 minutes,58.8%,18.6%,3.6%,5.5%,13.5%
9,90015,19655,1944,1240,22,2638,9,60,198,12875,64.7%,,10.7%,7.2%,32.2 minutes,53.7%,33.1%,2.8%,4.0%,6.3%
10,90016,47754,2127,17291,103,1434,34,247,898,25462,75.0%,,7.0%,7.3%,32.2 minutes,45.1%,36.1%,3.7%,4.7%,10.3%
11,90017,26141,2335,1296,58,3198,23,67,265,16526,56.0%,,9.1%,5.5%,32.6 minutes,58.0%,29.3%,3.0%,3.0%,6.7%
12,90018,52379,1833,15111,98,1777,41,328,810,29312,68.2%,,4.8%,9.1%,34.4 minutes,48.6%,34.3%,3.6%,4.7%,8.8%
13,90019,69512,8068,14712,113,10047,37,351,1429,29701,75.5%,,10.7%,6.8%,32.8 minutes,45.3%,38.2%,3.1%,4.2%,9.2%
14,90020,40746,4030,2140,42,18407,22,132,556,13638,82.2%,,8.9%,5.8%,30.8 minutes,46.9%,40.9%,2.8%,2.8%,6.5%
15,90021,2996,858,1200,29,156,3,11,63,1631,59.6%,,4.0%,11.6%,27.4 minutes,63.6%,19.7%,1.8%,4.6%,10.4%
16,90022,68154,1163,140,99,449,12,78,86,65152,49.6%,,1.2%,10.7%,30.5 minutes,45.7%,40.1%,3.6%,5.3%,5.3%
17,90023,47279,508,119,49,236,16,62,59,44854,43.1%,,1.8%,8.2%,27.5 minutes,47.7%,40.4%,3.2%,3.9%,4.8%
18,90024,50450,27197,969,36,12520,48,117,2251,4314,99.1%,,39.6%,7.8%,22.0 minutes,69.9%,21.5%,0.6%,3.3%,4.7%
19,90025,47187,24328,1129,41,8288,38,152,1817,6354,93.4%,,27.2%,4.6%,24.6 minutes,53.5%,33.0%,1.3%,3.1%,9.1%
20,90026,68526,14329,1752,140,11551,40,196,1160,38701,77.7%,,11.3%,7.3%,31.4 minutes,53.4%,33.5%,3.0%,3.5%,6.6%
21,90027,46703,26767,1320,86,5917,32,118,1344,9567,90.9%,,19.2%,7.5%,30.3 minutes,48.7%,35.5%,2.1%,5.5%,8.3%
