yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
#NAME?,141.0,78.0,154.0,114.0,7.0,112.0,95.0,17.0,41.0,5.0,16.0,63.0,21.0,2.0,1.0,1.0,1.0
03fIEBvPAqWfRzmac8RpSA,5.0,3.0,7.0,5.0,,,2.0,1.0,1.0,,,4.0,1.0,,1.0,,
0GHVLGiPedjhkdel6yAUgg,15.0,10.0,22.0,53.0,1.0,9.0,9.0,3.0,7.0,,,9.0,5.0,,1.0,,
0HuJBzTyauNtuLINzlsEVA,74.0,57.0,48.0,58.0,9.0,28.0,77.0,5.0,19.0,3.0,7.0,55.0,10.0,4.0,2.0,,
0JTreCz32EjrOUf7nP7HuQ,9.0,2.0,6.0,32.0,,8.0,1.0,7.0,2.0,,,7.0,,,,,
0f7KLXeVKJ1dZg5OqIGtPw,17.0,5.0,13.0,31.0,2.0,28.0,7.0,7.0,8.0,1.0,,9.0,7.0,,2.0,,
0tIX58080u_ksZPZG63whA,11.0,6.0,4.0,10.0,,11.0,4.0,10.0,2.0,,,1.0,1.0,,,,
0wemURLMYj9YkkXJI2aS6w,46.0,19.0,39.0,19.0,5.0,75.0,23.0,,8.0,2.0,3.0,22.0,4.0,2.0,,,1.0
1-i9Iq7J8pvwrmW9Fqf4SA,59.0,43.0,59.0,63.0,6.0,19.0,42.0,,29.0,2.0,8.0,30.0,22.0,1.0,,,1.0
1Ex6vG9FkMHilFCPVJ35YQ,1.0,1.0,5.0,2.0,,,1.0,2.0,1.0,,,4.0,,,,,1.0
1Q5a1_8kthcjJwCnEIxXRQ,22.0,9.0,26.0,42.0,2.0,28.0,19.0,5.0,7.0,1.0,1.0,11.0,1.0,,,,
1eVBCvSgCBVUJqAJ4b0ikQ,63.0,55.0,54.0,71.0,10.0,21.0,65.0,3.0,27.0,5.0,6.0,62.0,9.0,3.0,4.0,,
1exJzD7WPZzJ72JRG1CGWg,27.0,5.0,17.0,28.0,,31.0,12.0,4.0,11.0,,1.0,13.0,,,2.0,,
1oPxBD7nBPa8I6ZCeX1Svg,5.0,1.0,16.0,2.0,,17.0,5.0,,,,1.0,4.0,,,,,
23f1WhgIDNih9vn7SrCTeQ,8.0,4.0,2.0,14.0,1.0,23.0,2.0,5.0,3.0,,,7.0,,,2.0,,
2BKr3Iu24F64GvTOg288PQ,22.0,10.0,9.0,9.0,,29.0,1.0,3.0,5.0,,1.0,5.0,3.0,,2.0,,
2Hsx_X-zX2xuz0-9MaG-3w,15.0,8.0,13.0,7.0,1.0,45.0,10.0,6.0,2.0,2.0,1.0,18.0,2.0,,1.0,,
2Qu5VsJvpfGfWtJNyS3fvw,11.0,6.0,5.0,17.0,,5.0,3.0,6.0,3.0,1.0,,2.0,6.0,,,,
2WIwCGnGRHGIasaQq4SXRg,36.0,24.0,38.0,56.0,2.0,41.0,27.0,1.0,31.0,,5.0,32.0,9.0,1.0,,,1.0
2che358Nd2sQoX4j9E0HQA,37.0,25.0,42.0,60.0,3.0,25.0,35.0,5.0,35.0,,2.0,28.0,13.0,1.0,,,1.0
2eeDbNOObKw6g3rSYehweQ,56.0,36.0,51.0,19.0,1.0,16.0,33.0,,12.0,3.0,7.0,10.0,3.0,1.0,,,
30fzRmlJ3diNIpctApYB_g,6.0,3.0,25.0,12.0,1.0,34.0,1.0,,5.0,,,2.0,1.0,,1.0,,
32hMRsZlsjcidvQSZTrLmQ,8.0,2.0,5.0,9.0,,15.0,2.0,3.0,8.0,,,3.0,2.0,,,,
3CC2-XvRP4uAsac7wHQClQ,70.0,59.0,63.0,43.0,8.0,37.0,63.0,1.0,18.0,3.0,15.0,38.0,11.0,4.0,2.0,,
3No1_3dc_lveYA2ckbnZfw,25.0,13.0,23.0,43.0,,27.0,11.0,4.0,6.0,,,14.0,4.0,,4.0,,2.0
