yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,train_station
#NAME?,48.0,11.0,99.0,40.0,13.0,56.0,80.0,4.0,16.0,2.0,10.0,35.0,12.0,,3.0,1.0
-3vWq_Ei0K52mywpiXdnag,6.0,,1.0,5.0,2.0,13.0,6.0,3.0,1.0,,,5.0,,,,
-4wz0dOG3RdBNYE02l9KjA,16.0,4.0,10.0,25.0,,21.0,14.0,2.0,2.0,1.0,1.0,10.0,,,1.0,
0LVKwqqzwiUnGtKFo7f6AA,20.0,6.0,50.0,12.0,5.0,22.0,49.0,2.0,12.0,3.0,7.0,19.0,3.0,,1.0,
0PLv5h5eRTG6fuWLpUmf4A,22.0,4.0,37.0,60.0,2.0,29.0,13.0,2.0,25.0,,1.0,13.0,2.0,,,
0Sh-XNVgGDRwiN4K3UEQJA,20.0,13.0,13.0,12.0,,45.0,18.0,,6.0,,3.0,17.0,1.0,,1.0,
0YPcBWiU-8t2kGe-DOhW5g,34.0,5.0,42.0,21.0,5.0,37.0,30.0,3.0,13.0,6.0,1.0,32.0,2.0,,,
0cqa2F_cfIjxAC3nqw__1w,12.0,7.0,22.0,2.0,1.0,17.0,36.0,,13.0,1.0,,9.0,2.0,,1.0,
0kDRKVk2iJ9pgXRSw3g8zQ,10.0,1.0,12.0,,4.0,5.0,6.0,,,,,,,,,
0zOQ6gbOERAi-FoeM4fAig,,,,,,13.0,,,1.0,,1.0,,,,,
11uZOhVKA6ugpqHtMcrqHA,9.0,2.0,5.0,6.0,1.0,4.0,4.0,2.0,5.0,1.0,1.0,2.0,,,,
13mL2ubsel9-BB4oxa6MBw,60.0,60.0,60.0,60.0,9.0,50.0,60.0,,44.0,2.0,16.0,56.0,21.0,1.0,,
14OmmSWHfM717iZo5jePtg,38.0,7.0,46.0,55.0,3.0,60.0,29.0,2.0,14.0,1.0,3.0,23.0,2.0,,2.0,
17EshTjFVV-zvkx2VoQCkA,7.0,4.0,24.0,12.0,2.0,17.0,8.0,1.0,12.0,,2.0,8.0,,,,
1KbZaqEdZkn6LHlA55M64g,8.0,2.0,3.0,11.0,2.0,32.0,7.0,1.0,2.0,,,14.0,,,,
1QPm2ieWgOjQUZGmFTbxjA,1.0,,,1.0,,6.0,2.0,2.0,1.0,,,2.0,,,,
1T4v3kD1WzonYPf7izSP9Q,31.0,4.0,60.0,28.0,11.0,19.0,60.0,1.0,5.0,1.0,3.0,9.0,10.0,,3.0,
1hkvOkD9MZINKlDzIweByw,60.0,28.0,60.0,60.0,9.0,53.0,44.0,,10.0,2.0,7.0,25.0,2.0,,8.0,
1nnWECqcCS4T19Pr-nx-dQ,6.0,,13.0,12.0,2.0,8.0,4.0,1.0,2.0,,,3.0,1.0,,,
1nzk92bfVUq-NSNsilrmQQ,60.0,39.0,60.0,60.0,12.0,60.0,60.0,,30.0,4.0,12.0,39.0,12.0,1.0,2.0,
1pt2rJJrCxVs5YbWiAqMxQ,6.0,4.0,4.0,24.0,2.0,16.0,8.0,,8.0,1.0,1.0,13.0,2.0,,1.0,
1toCkhuD0b57iFotMu3XEQ,12.0,,9.0,10.0,,28.0,6.0,3.0,5.0,,1.0,18.0,,,1.0,
1xs89kzJ2F6iDzRyYcRLCQ,26.0,9.0,19.0,40.0,4.0,32.0,17.0,2.0,3.0,,2.0,20.0,1.0,,2.0,
1xvpFG2vz5zKpbCS6lwFlQ,2.0,2.0,3.0,11.0,,10.0,6.0,,1.0,,,6.0,1.0,,,
1yBl7rAXsGRKyv9XYUOKng,53.0,32.0,60.0,33.0,16.0,37.0,60.0,1.0,6.0,,9.0,17.0,13.0,,3.0,1.0
29ys00My-dBVpBDIO58ifw,29.0,6.0,40.0,60.0,4.0,54.0,16.0,,12.0,,4.0,18.0,2.0,,1.0,
2DihFta_jZB8aAiL_zjp9A,15.0,9.0,10.0,8.0,,25.0,14.0,,6.0,,3.0,13.0,,,1.0,
2FR395iJImCphQNGWubUtw,8.0,2.0,2.0,15.0,,9.0,8.0,1.0,4.0,,,17.0,,,2.0,
2FS5eBVcFJ_W461ylUs38Q,,,2.0,,,8.0,,1.0,,,,1.0,,,,
2aILYZOWPxdlfqydJaYz_w,22.0,7.0,60.0,44.0,4.0,24.0,38.0,,14.0,2.0,3.0,14.0,,,,
2fHBHPsyHljC9xj6f4Mfgg,6.0,2.0,8.0,14.0,1.0,24.0,14.0,1.0,10.0,,1.0,4.0,1.0,,1.0,
2rthL8lxThA-k1hnpB9utw,19.0,9.0,14.0,22.0,1.0,26.0,24.0,2.0,9.0,2.0,8.0,7.0,,,,
2tfcE_K3E1Az-M9fKzdh2Q,1.0,,1.0,,,1.0,1.0,,,,,,,,,
2vlDWJxhWsESJQVSaghAeA,25.0,6.0,56.0,30.0,5.0,23.0,28.0,8.0,30.0,1.0,4.0,24.0,,1.0,,
32VKRJRFgVTI9w2AhY_grA,16.0,4.0,10.0,25.0,4.0,9.0,17.0,2.0,2.0,2.0,,2.0,10.0,,1.0,
353bun0151fMbR3ut2d-nw,21.0,5.0,34.0,21.0,8.0,27.0,32.0,,14.0,5.0,2.0,33.0,9.0,,,
35QF3fJzGIwFfEpSFrB_fw,7.0,,1.0,5.0,2.0,14.0,6.0,4.0,1.0,,,6.0,,,,
39DgSNLIaRSxZJGAl-nmGw,60.0,60.0,60.0,60.0,12.0,60.0,60.0,,46.0,1.0,13.0,58.0,14.0,1.0,1.0,
3AC3j3K25rdYLDe3D2Ld4w,60.0,60.0,60.0,60.0,10.0,60.0,60.0,,44.0,2.0,16.0,52.0,17.0,1.0,,
3F5WWcqqboa-NHbYFs4LAw,20.0,8.0,38.0,12.0,9.0,26.0,31.0,2.0,9.0,,7.0,6.0,2.0,,1.0,1.0
