yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
#NAME?,124.0,55.0,150.0,120.0,10.0,151.0,51.0,12.0,60.0,5.0,5.0,58.0,19.0,2.0,5.0,,
-8cgezcs-xEpJ_K4O8LxVA,50.0,25.0,38.0,9.0,2.0,60.0,36.0,,8.0,3.0,23.0,18.0,4.0,4.0,,,
062CC_NuxAQ9cWXqRjfxxA,32.0,13.0,19.0,36.0,3.0,36.0,11.0,3.0,7.0,2.0,,7.0,4.0,,1.0,,
0HkNpi8bA_DvNeOFDyFOqg,,,,1.0,,10.0,,1.0,,,,1.0,,,,,
0MF_IBRkZoEAhA2TIYO10Q,40.0,25.0,29.0,39.0,2.0,30.0,17.0,1.0,25.0,,,31.0,3.0,1.0,,,
0Oy1XKhZIpRGXmDsQ7Noqw,13.0,2.0,4.0,8.0,,18.0,2.0,1.0,4.0,2.0,,8.0,2.0,1.0,,,
0d1E1CuLvPnGwcY57792YA,34.0,11.0,60.0,7.0,,52.0,39.0,,17.0,1.0,18.0,17.0,5.0,1.0,,,
0kDRKVk2iJ9pgXRSw3g8zQ,10.0,1.0,12.0,,4.0,5.0,6.0,,,,,,,,,,
19G1gOzWPPpjhOZR8Vw3_g,25.0,10.0,14.0,11.0,,33.0,18.0,3.0,6.0,,,12.0,4.0,1.0,,,
1Cc3EIgfLJVhfPEE_GlWdA,19.0,6.0,10.0,23.0,,20.0,7.0,6.0,7.0,1.0,1.0,8.0,,,1.0,,
1KWPppmtRGK3WdgmX7ak6w,24.0,12.0,12.0,24.0,1.0,23.0,9.0,,7.0,1.0,,6.0,7.0,1.0,1.0,,
1ctsXD-rj0ctn9QCplLVmw,15.0,3.0,1.0,15.0,1.0,20.0,7.0,2.0,11.0,,1.0,17.0,,1.0,,,
1nnWECqcCS4T19Pr-nx-dQ,6.0,,13.0,12.0,2.0,8.0,4.0,1.0,2.0,,,3.0,1.0,,,,
1v-zC24UDxNpXSy1bt-s_g,12.0,4.0,37.0,7.0,,32.0,2.0,2.0,7.0,,,9.0,1.0,,1.0,,
24meUwpFV0R5gwxhFKkKXQ,14.0,7.0,7.0,16.0,,11.0,6.0,4.0,6.0,,,1.0,6.0,,1.0,,
2VJ8gEpYhRODfIi1YRaGeQ,2.0,1.0,11.0,7.0,,16.0,3.0,,4.0,,,4.0,,1.0,,,
2VbkvMdUaKuyIGU4LbYfHQ,18.0,8.0,39.0,14.0,,33.0,20.0,1.0,18.0,2.0,14.0,26.0,,,3.0,,
2hJE8pBAwyw7NffzuxTjQg,19.0,7.0,53.0,22.0,3.0,19.0,13.0,,12.0,,1.0,11.0,,,2.0,,
2owgAPNF2AkqWGXsQoDCIg,17.0,8.0,46.0,20.0,2.0,14.0,21.0,,20.0,2.0,,10.0,6.0,,1.0,,
2qP46-Gutei0RaWv5sDk8Q,3.0,2.0,2.0,1.0,,1.0,,1.0,1.0,,,,,,,,
3103auDUTV8UZDN72D6CQg,5.0,,8.0,4.0,1.0,8.0,8.0,,2.0,,,6.0,1.0,,,,
32VKRJRFgVTI9w2AhY_grA,16.0,4.0,10.0,25.0,4.0,9.0,17.0,2.0,2.0,2.0,,2.0,10.0,,1.0,,
38_DxYPSmxHvbvuDubkMXA,10.0,4.0,5.0,7.0,,6.0,7.0,4.0,2.0,,,11.0,2.0,,,,
3YK9x5aOrHxE27WKzGSw2g,17.0,4.0,16.0,39.0,2.0,38.0,9.0,2.0,5.0,,1.0,7.0,1.0,,,,
3lO_rIMKJao7BVABkKBx2w,6.0,,3.0,,,19.0,3.0,7.0,,,,3.0,,,,,
3uandIdocQdhEryIZEIF9Q,21.0,6.0,12.0,2.0,4.0,38.0,23.0,,1.0,,4.0,13.0,2.0,1.0,1.0,,2.0
