name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category,id
Crawfish N More,29.83161,-95.6461,False,77084,Houston,TX,$$,4.5,https://www.yelp.com/biz/crawfish-n-more-houston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,283,[],"cajun,seafood",JQEqfBBNAlgaN1WwrmJbGQ
Taquerias Arandas,29.83473,-95.64531,False,77084,Houston,TX,$,3.5,https://www.yelp.com/biz/taquerias-arandas-houston-11?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,31,[],"mexican,breakfast_brunch,seafood",z_b9nZMf7CMkpZLApCGEmw
Los Cucos Mexican Cafe - Clay,29.83703,-95.64792,False,77084,Houston,TX,$$,3.0,https://www.yelp.com/biz/los-cucos-mexican-cafe-clay-houston-4?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,154,"['pickup', 'delivery']","mexican,bars,tex-mex",DIIkt-9jIHdGO1_F2Bj9Nw
Hank's Crawfish Bar & Grill,29.8380625235775,-95.6462176144123,False,77084,Houston,TX,$$,3.5,https://www.yelp.com/biz/hanks-crawfish-bar-and-grill-houston-2?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,214,[],"cajun,seafood,beerbar",MAFdtMFDRfjfmfzuoD_8rA
Gran Colombia Restaurante,29.857618,-95.644069,False,77084,Houston,TX,$,4.0,https://www.yelp.com/biz/gran-colombia-restaurante-houston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,65,[],"colombian,seafood,breakfast_brunch",vjtueSU2A2UEnJdw67i9Wg
The Bayou Sports Bar And Grill,29.859224319458,-95.6333999633789,False,77084,Houston,TX,$$,4.0,https://www.yelp.com/biz/the-bayou-sports-bar-and-grill-houston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,7,[],sportsbars,UeCrzGBxsJR2O1RFNUPlZg
Cafe Benedicte,29.77945,-95.62809,False,77079,Houston,TX,$$,4.0,https://www.yelp.com/biz/cafe-benedicte-houston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,227,[],"newamerican,breakfast_brunch,burgers",DK_-WdFdbCFWtkNbm4FZyg
Amar Indian-European Cuisine,29.79556,-95.68898,False,77084,Houston,TX,$$,4.5,https://www.yelp.com/biz/amar-indian-european-cuisine-houston-3?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,94,"['pickup', 'delivery']","indpak,modern_european",6CZWccw-3uTuGbG2FFE-7Q
Aguirre's Tex-Mex,29.8696291239773,-95.6448008042297,False,77084,Houston,TX,$$,4.5,https://www.yelp.com/biz/aguirres-tex-mex-houston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,401,[],"tex-mex,mexican,bars",eWTfIYBQQGPQheREBLnHxw
Petit Cafe Mediterranean Grill,29.7666689343043,-95.6249085926677,False,77077,Houston,TX,$$,4.0,https://www.yelp.com/biz/petit-cafe-mediterranean-grill-houston-2?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,166,"['pickup', 'delivery']","greek,mediterranean,lebanese",cwfrrTkhhds427yDndUMxQ
Island Spice Bar & Grill,29.8657869,-95.6807477,False,77084,Houston,TX,$$,4.0,https://www.yelp.com/biz/island-spice-bar-and-grill-houston-4?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,109,['pickup'],"caribbean,bars",LuRSoQZ-HD6GtXF0cYfPLg
Havana Houston,29.769704,-95.604805,False,77079,Houston,TX,$$$,4.0,https://www.yelp.com/biz/havana-houston-houston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,78,"['pickup', 'delivery']","cuban,seafood,steak",Ri-wbAVnC6QgcznpWerPfQ
Fatoush  Mediterranean Grill & Cafe,29.8795333229135,-95.6564894646566,False,77095,Houston,TX,$$,4.0,https://www.yelp.com/biz/fatoush-mediterranean-grill-and-cafe-houston-4?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,182,"['pickup', 'delivery']","mediterranean,hookah_bars",VxG6D5YldtJfiSzGxZ7FEA
LTK Crawfish,29.8805859981844,-95.608088650385,False,77041,Houston,TX,$$,4.0,https://www.yelp.com/biz/ltk-crawfish-houston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,155,[],"cajun,seafood,tradamerican",CR3dPONyM_-rea2m7_oCjw
The Devine Affair,29.7702286,-95.591387,False,77079,Houston,TX,$$,4.0,https://www.yelp.com/biz/the-devine-affair-houston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,97,"['pickup', 'delivery']","italian,seafood,wine_bars",9p61hOdz5-Ui3URxad6zXQ
Brenner's Steakhouse,29.7837660525252,-95.5708757042885,False,77079,Houston,TX,$$$,4.0,https://www.yelp.com/biz/brenners-steakhouse-houston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,178,[],"steak,newamerican,venues",RVdYuJ9QBgR-VGwBq19Bag
Buffalo Wild Wings,29.790399,-95.720037,False,77449,Katy,TX,$$,2.0,https://www.yelp.com/biz/buffalo-wild-wings-katy?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,136,['delivery'],"chicken_wings,tradamerican,sportsbars",expuw9Vq0zSU67vzhqo0LQ
China Inn,29.89655,-95.6373,False,77095,Houston,TX,$,3.5,https://www.yelp.com/biz/china-inn-houston?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,47,"['pickup', 'delivery']","chinese,seafood,noodles",p3IxCvX0OTZmP2mIo4tumg
Niko Niko's Greek & American Café,29.7860908508301,-95.5618362426758,False,77043,Houston,TX,$$,3.5,https://www.yelp.com/biz/niko-nikos-greek-and-american-caf%C3%A9-houston-3?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,272,[],"mediterranean,greek,newamerican",l9P8h9PbUSRnOzKEOLvWYw
Texas de Brazil,29.781834,-95.561019,False,77024,Houston,TX,$$$,3.5,https://www.yelp.com/biz/texas-de-brazil-houston-3?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,258,[],"steak,brazilian,venues",e9vc1j0z9fRumdPzWnVCDw
