name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category,id
Full House Seafood Restaurant,34.06621,-118.23804,FALSE,90012,Los Angeles,CA,$$,3.5,https://www.yelp.com/biz/full-house-seafood-restaurant-los-angeles-3?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,633,[],"seafood,cantonese",wQ9e-NbQH2bX7OQZ0Xyf4g
Plan Check Kitchen & Bar,34.052601,-118.263447,FALSE,90017,Los Angeles,CA,$$,4,https://www.yelp.com/biz/plan-check-kitchen-and-bar-los-angeles?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,972,"['pickup', 'delivery']","cocktailbars,gastropubs,tradamerican",UZlLBVnqs9Ikphin8CMVcA
New Dragon Seafood Restaurant,34.06518461,-118.2381088,FALSE,90012,Los Angeles,CA,$,3.5,https://www.yelp.com/biz/new-dragon-seafood-restaurant-los-angeles?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,300,[],"chinese,seafood",VdpxYO4hCKYo0eSF9r59ew
Kendall's Brasserie,34.05644586,-118.2484725,FALSE,90012,Los Angeles,CA,$$$,3.5,https://www.yelp.com/biz/kendalls-brasserie-los-angeles?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,471,[],"french,bars,breakfast_brunch",MN7cr3Xgw2AJh7YEggua5A
Michelangelo Ristorante,34.10698292,-118.2636239,FALSE,90039,Los Angeles,CA,$$,4,https://www.yelp.com/biz/michelangelo-ristorante-los-angeles-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,638,['delivery'],"italian,pizza",WylKsZv1qKCDqrHd-joiOA
Wolfdown,34.1072214,-118.2642524,FALSE,90039,Los Angeles,CA,$$$,4,https://www.yelp.com/biz/wolfdown-los-angeles?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,137,[],"newamerican,asianfusion,korean",Ks8hQ96-5WZW6l238Mbfxg
Moodaepo II,34.059648,-118.289799,FALSE,90005,Los Angeles,CA,$$,3.5,https://www.yelp.com/biz/moodaepo-ii-los-angeles-3?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1621,[],"korean,bbq,bars",XKcHgQ75rl0nUv21sHUJ1w
Buffalo Wild Wings,34.061007,-118.291399,FALSE,90010,Los Angelos,CA,$$,2.5,https://www.yelp.com/biz/buffalo-wild-wings-los-angelos?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,208,"['pickup', 'delivery']","sportsbars,tradamerican,chicken_wings",4lfzJCUnLiHo4qEQ9Plqwg
George's Greek Grill,34.052659,-118.257136,FALSE,90071,Los Angeles,CA,$$,3.5,https://www.yelp.com/biz/georges-greek-grill-los-angeles-6?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,165,"['pickup', 'delivery']","greek,mediterranean,sandwiches",SYHP98CMB3JrPhFZlJDkgg
Otium,34.054358,-118.251339,FALSE,90012,Los Angeles,CA,$$$,4,https://www.yelp.com/biz/otium-los-angeles?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1432,[],newamerican,G_V5eJFfYlTEERyIPR-8MQ
