name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category,id
Don Pancho's,40.8066471932753,-73.9268930759751,False,10454,West Bronx,NY,$$,3.5,https://www.yelp.com/biz/don-panchos-west-bronx-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,98,"['delivery', 'pickup']",steak,FliyHfin979wf72xfu9a5w
Barawine,40.8045311,-73.9473801,False,10027,New York,NY,$$,3.5,https://www.yelp.com/biz/barawine-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,300,"['delivery', 'pickup']",wine_bars,wpye6v-2fIx7Z2Sz12XubA
Sexy Taco/Dirty Cash,40.803604,-73.949035,False,10026,New York,NY,$$,3.0,https://www.yelp.com/biz/sexy-taco-dirty-cash-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,289,"['delivery', 'pickup']","cocktailbars,newamerican,mexican",D7w3Nk3H0oDYZSIAaRgYRA
Lido,40.8049797781916,-73.9548260014624,False,10026,New York,NY,$$,4.0,https://www.yelp.com/biz/lido-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,841,[],"italian,breakfast_brunch,cocktailbars",J9xVQScnr0lYWl61_mLXMA
Santorini Taverna,40.85134,-73.96569,False,07024,Fort Lee,NJ,$$,3.5,https://www.yelp.com/biz/santorini-taverna-fort-lee?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,110,['delivery'],"greek,mediterranean,seafood",SlPxySdM08oUi-3sdwz7Lg
Blujeen,40.8042124,-73.9557079,False,10026,New York,NY,$$,3.5,https://www.yelp.com/biz/blujeen-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,214,[],"newamerican,comfortfood,bbq",6fuBkRzFEuIGexlxJx4RrA
The Tea Bar,40.84995,-73.96832,False,07024,Fort Lee,NJ,$$,4.0,https://www.yelp.com/biz/the-tea-bar-fort-lee?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,204,[],"cafes,newamerican,korean",C29qVHuUDyFoQQPaFOpGfQ
It's Greek To Me,40.8494,-73.96947,False,07024,Fort Lee,NJ,$$,3.0,https://www.yelp.com/biz/its-greek-to-me-fort-lee?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,131,[],"greek,mediterranean",8pHKqPb1VjaYVk8JaGyNxg
The Restaurant at MIST,40.80122,-73.94853,False,10026,New York,NY,$$,3.5,https://www.yelp.com/biz/the-restaurant-at-mist-new-york-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,71,['restaurant_reservation'],"wine_bars,venues",LW_t_KO6SybdAHMtNilAEA
Bier International,40.80279,-73.95696,False,10026,New York,NY,$$,3.5,https://www.yelp.com/biz/bier-international-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,305,['pickup'],"german,bars",Fk495HaokZDrGkAG8s_dlg
