name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category,id
Emmett Watson's Oyster Bar,47.60995768,-122.3425839,FALSE,98101,Seattle,WA,$$,3,https://www.yelp.com/biz/emmett-watsons-oyster-bar-seattle?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,332,[],"seafood,raw_food,fishnchips",z13gyo3YQnqPYRoQXMxvEg
Cantina de San Patricio,47.6102599,-122.3421,FALSE,98101,Seattle,WA,$$,3,https://www.yelp.com/biz/cantina-de-san-patricio-seattle?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,177,"['delivery', 'pickup']","mexican,cocktailbars",Yt6FUNC5g5-UAOrqn4aqZQ
Kells Irish Restaurant & Pub,47.61029,-122.34213,FALSE,98101,Seattle,WA,$$,3.5,https://www.yelp.com/biz/kells-irish-restaurant-and-pub-seattle?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,566,[],"irish,irish_pubs",CtWyb9g7OL2FVbt6J4ucVw
The Pink Door,47.61028,-122.3425,FALSE,98101,Seattle,WA,$$,4.5,https://www.yelp.com/biz/the-pink-door-seattle-4?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,3867,[],"italian,wine_bars,seafood",VOPdG8llLPaga9iJxXcMuQ
Steelhead Diner,47.60956,-122.34105,FALSE,98101,Seattle,WA,$$,3.5,https://www.yelp.com/biz/steelhead-diner-seattle?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,1410,[],"diners,seafood,tradamerican",UoDpuMVth1qUVapDz6caXQ
Pike Place Chowder,47.60939,-122.34112,FALSE,98101,Seattle,WA,$$,4.5,https://www.yelp.com/biz/pike-place-chowder-seattle?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,6141,['pickup'],"seafood,soup",6I28wDuMBR5WLMqfKxaoeg
Mr. D's Greek Delicacies,47.60922,-122.34122,FALSE,98101,Seattle,WA,$,4,https://www.yelp.com/biz/mr-ds-greek-delicacies-seattle?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,214,[],"greek,hotdogs,mediterranean",ziJexMx2QRd4kYMVbvaezQ
Lowell's Restaurant,47.6089372,-122.341346,FALSE,98101,Seattle,WA,$$,3.5,https://www.yelp.com/biz/lowells-restaurant-seattle?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,1299,[],"tradamerican,breakfast_brunch,seafood",G0rZd0e7KdgjL9tX0CqVug
Scout,47.6105096,-122.3413155,FALSE,98101,Seattle,WA,$$$,3.5,https://www.yelp.com/biz/scout-seattle?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,160,[],newamerican,fZQ-ALxlDkyM2gA2zmqo4w
Le Pichet,47.6107,-122.34259,FALSE,98101,Seattle,WA,$$,4,https://www.yelp.com/biz/le-pichet-seattle?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,953,[],"french,wine_bars,brasseries",#NAME?
