Id,Name,category,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music
YFkrZhuA1phCiJB1EJV39w,Middle East Restaurant and Nightclub,"Middle Eastern,Music Venues,Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,Yes,No,,No,,Hipster,Casual,Loud,Live
SNJhevBiD7xFvxiEJywMxw,Boston Beer Works,"Breweries,American (Traditional),Beer Bar",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
58cDJU4cub1o0o0B4h9GrA,Craigie On Main,"American (New),French,Bars",Above $61,Above $61,,0,0,0,0,0,Yes,Full Bar,,No,,,No,"Valet, Garage, Street",,No,Yes,,No,,,Casual,Average,
KENZN5yZDjVQtKzwJ5gD6Q,Gyro City,"Greek,Mediterranean",Under $10,Under $10,,13,12,23,79,156,Yes,No,,Yes,,,Yes,Street,,Yes,No,Yes,No,,Casual,Casual,Average,
7200x8GYzQSeBzuiv3_4BA,Porcinis Italian Restaurant,"Italian,Seafood,Mediterranean",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,Free,,,Casual,Average,
p8ohzzGvGRCHnJKnyO7exA,Eastern Standard Kitchen & Drinks,"American (New),Lounges,Breakfast & Brunch",$31-60,$31-60,,52,122,238,629,710,Yes,Full Bar,,No,,,Yes,"Valet, Street",,Yes,Yes,,No,,Classy,Casual,Average,
C7FKNwSUlbUinT9cRSLXHA,Cuchi Cuchi,"Tapas/Small Plates,Wine Bars,Cocktail Bars",$31-60,$31-60,,43,51,123,363,486,Yes,Full Bar,,No,,,No,Street,,No,Yes,,No,,Trendy,Casual,Loud,
VnuD2cojPTWd3nIHQjnL8w,Island Creek Oyster Bar,"Seafood,Bars",$31-60,$31-60,,74,101,238,681,1393,Yes,Full Bar,,No,,,No,"Valet, Street",,No,Yes,Yes,No,,Trendy,Casual,Average,
6q5TIpdyLXLBvOv3wyizWA,Trattoria Pulcinella,Italian,$31-60,$31-60,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,Yes,Street,,Yes,Yes,,Free,,Romantic,Casual,Quiet,
T8DpRFty13MXLf6MB43aLg,Bondir Cambridge,American (New),Above $61,Above $61,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,Intimate,Casual,Quiet,
9RH1xBIMMAZXg9s_XW_sLg,Giulia,Italian,$31-60,$31-60,,9,19,34,84,248,Yes,Full Bar,,No,,,No,Street,,No,Yes,,No,,Intimate,Casual,Average,
JZPPsLYmLCc9uwuolor7cQ,Temple Bar,"American (New),Bars",$11-30,$11-30,,23,42,96,223,103,Yes,Full Bar,,No,,,Yes,Private Lot,,Yes,Yes,,Free,,,Casual,Average,
u4dXemPMSM8TeDPmodFc2A,The Kirkland Tap & Trotter,American (New),$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,Free,,Hipster,Casual,Average,
kLr68qdt6nutZCuCMz5mDg,Oleana Restaurant,Mediterranean,$31-60,$31-60,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,Yes,Street,,No,Yes,,No,,Romantic,Casual,Average,
E2De90kZUtXIS2dy-vn1yg,Deuxave,"American (New),Bars",$31-60,$31-60,,19,24,43,133,260,Yes,Full Bar,,No,,,Yes,Valet,,No,Yes,,No,,Upscale,Dressy,Average,
TfSZgUu1Uxwcve7q1j5fLQ,Midwest Grill Brazilian BBQ,"Steakhouses,Brazilian,Barbeque",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
R7peDyHzKTGilwo_1fjt3g,Woody’s Grill and Tap,"Bars,American (Traditional),Pizza",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,No,Yes,Free,,Casual,Casual,Average,
HU2iYyCPkmP1gxuKYoiKNg,Shaking Crab - Cambridge,"Seafood,Cajun/Creole",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,No,Yes,"Street, Private Lot",,Yes,Yes,Yes,Free,,"Hipster, Casual, Trendy",Casual,Average,
PSp0P_3zWIQabA5HAIJBMQ,Pho Basil,"Vietnamese,Thai,Seafood",$11-30,$11-30,,43,54,107,389,425,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,
zkUgoHp4cyCpOyrJKofX6A,Cafe Mami,"Japanese,Salad,Steakhouses",Under $10,Under $10,,0,0,0,0,0,No,No,,No,,Yes,No,"Street, Private Lot",,Yes,No,No,No,,Casual,Casual,Average,
I07zWZ_JGqVAp3ZPxIpDYg,Summer Shack-Boston,"Seafood,Bars,American (Traditional)",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,"Garage, Street, Validated",,Yes,Yes,,No,,Casual,Casual,Average,
rpIRK9g0uM7Mao5jB39m3w,Boston Shawarma,"Middle Eastern,Halal,Mediterranean",Under $10,Under $10,,24,21,38,95,179,Yes,No,,Yes,,Yes,No,Street,,Yes,No,No,No,,Casual,Casual,Average,
XUepp8T9xSMBuvlEG_-DrQ,The Capital Grille,"Steakhouses,Seafood,Wine Bars",Above $61,Above $61,,20,25,78,215,493,Yes,Full Bar,,Yes,,,Yes,"Valet, Garage, Street",,No,Yes,,Free,,"Classy, Upscale",Dressy,Average,Background
ZAV8c9iGKV8zWHxOpTxdYQ,Select Oyster Bar,"Seafood,Bars",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,No,Yes,Street,,No,Yes,Yes,No,,Trendy,Casual,Average,
JIBJ_1aH_gHgbLnAIX5hEw,Towne Stove and Spirits,"American (New),Breakfast & Brunch",$31-60,$31-60,,89,104,127,161,98,Yes,Full Bar,,Yes,,,Yes,Validated,,Yes,Yes,Yes,Free,,Trendy,Dressy,Average,
zL2-u9LuxmPzC9d5qnTkvQ,Buk Kyung,"Korean,Seafood",$11-30,$11-30,,25,15,35,95,69,Yes,No,,Yes,,,No,"Street, Private Lot",,Yes,Yes,,No,,Casual,Casual,Average,
xXj6XsEvpRJ0hMHAh9N02A,The Independent,"Bars,American (New)",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,Yes,Free,,Casual,Casual,Average,
Ug6ngfzLT_cPzSttve1OzQ,Top of the Hub,"American (New),Wine Bars",$31-60,$31-60,,258,253,405,649,456,Yes,Full Bar,,No,,,No,Garage,,No,Yes,,Free,,"Classy, Upscale",Dressy,Average,Live
QvCYvbMNkRTe4UqVwmyb3w,Canary Square,"American (New),Breakfast & Brunch,Burgers",$11-30,$11-30,,63,108,113,148,96,Yes,Full Bar,,No,,No,Yes,Street,,Yes,Yes,Yes,Free,,Casual,Casual,Average,
1A9alCsYB5Z5PW3yvH1HnQ,Casa B Tapas and Cocktail & Rum Bar,"Caribbean,Tapas/Small Plates,Cocktail Bars",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,No,Yes,,No,,,Casual,Average,
PUZSvR-nEHlhEi0gSADu7w,Piattini,"Italian,Bars,Salad",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,,No,,Intimate,Casual,Average,
V5r0E89VSK0IDzZRvrhc3g,The Cheesecake Factory,"American (New),Desserts",$11-30,$11-30,,96,86,144,164,112,Yes,Full Bar,,Yes,,,Yes,Garage,,Yes,Yes,,No,,Casual,Casual,Average,
AGR_kBvN__I7aTl0rBywAg,Atlantic Fish,"Seafood,Live/Raw Food,Cocktail Bars",$31-60,$31-60,,79,130,268,751,1026,Yes,Full Bar,,No,,No,Yes,"Valet, Street",,Yes,Yes,Yes,Free,,Classy,Casual,Average,
0ulC3Jz1eXnJJ3v2kN5Xpg,Demos,"Mediterranean,Greek",Under $10,Under $10,,6,19,13,34,22,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,
